"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 20 09:29:04 MSK 2025","Fri Jun 20 09:29:05 MSK 2025","766","","Тесты на создание пользователя","","ru.yandex.tests.User.UserCreateTests","successfulUserCreateTest","Успешное создание пользователя",""
"passed","Fri Jun 20 09:29:04 MSK 2025","Fri Jun 20 09:29:04 MSK 2025","870","","Тесты на создание пользователя","","ru.yandex.tests.User.UserCreateTests","failureAlreadyExistCreateTest","Создание дубликата пользователя",""
"passed","Fri Jun 20 09:29:05 MSK 2025","Fri Jun 20 09:29:06 MSK 2025","941","","Тесты на авторизацию пользователя","","ru.yandex.tests.User.UserLoginTests","successfulLoginTest","Тест успешной авторизации",""
"passed","Fri Jun 20 09:29:00 MSK 2025","Fri Jun 20 09:29:03 MSK 2025","3503","","Тесты на оформление заказа","","ru.yandex.tests.Order.OrderPlaceTests","placeOrderWithAuthTest","Оформление заказа с авторизацией и ингредиентами",""
"passed","Fri Jun 20 09:28:53 MSK 2025","Fri Jun 20 09:28:55 MSK 2025","2228","","Тесты на получение оформленного заказа","","ru.yandex.tests.Order.OrderGetTests","getOrderWithoutAuthTest","Получение заказа без авторизации",""
"passed","Fri Jun 20 09:29:06 MSK 2025","Fri Jun 20 09:29:07 MSK 2025","862","","Тесты на изменение пользователя","","ru.yandex.tests.User.UserPatchTests","failurePatchTest","Изменение пользователя без авторизации",""
"passed","Fri Jun 20 09:29:03 MSK 2025","Fri Jun 20 09:29:04 MSK 2025","104","","Тесты на создание пользователя","","ru.yandex.tests.User.UserCreateTests","failureWithNoPasswordCreateTest","Создание пользователя без password",""
"passed","Fri Jun 20 09:29:06 MSK 2025","Fri Jun 20 09:29:06 MSK 2025","104","","Тесты на авторизацию пользователя","","ru.yandex.tests.User.UserLoginTests","failureWrongCredentialsLoginTest","Тест авторизации с некорректными данными",""
"passed","Fri Jun 20 09:29:03 MSK 2025","Fri Jun 20 09:29:03 MSK 2025","336","","Тесты на оформление заказа","","ru.yandex.tests.Order.OrderPlaceTests","placeOrderWithWrongHashTest","Оформление заказа с некорректным hash ингредиентов",""
"passed","Fri Jun 20 09:28:59 MSK 2025","Fri Jun 20 09:29:00 MSK 2025","284","","Тесты на оформление заказа","","ru.yandex.tests.Order.OrderPlaceTests","placeOrderNoAuthTest","Оформление заказа без авторизации",""
"passed","Fri Jun 20 09:29:07 MSK 2025","Fri Jun 20 09:29:08 MSK 2025","1134","","Тесты на изменение пользователя","","ru.yandex.tests.User.UserPatchTests","successfulPatchTest","Изменение пользователя с авторизацией",""
"passed","Fri Jun 20 09:28:55 MSK 2025","Fri Jun 20 09:28:59 MSK 2025","4027","","Тесты на получение оформленного заказа","","ru.yandex.tests.Order.OrderGetTests","getOrderWithAuthTest","Получение заказа c авторизацией",""
"passed","Fri Jun 20 09:29:03 MSK 2025","Fri Jun 20 09:29:03 MSK 2025","119","","Тесты на оформление заказа","","ru.yandex.tests.Order.OrderPlaceTests","placeOrderNoIngredientsTest","Оформление заказа без ингредиентов",""
